Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Region_Australia and New Zealand,Region_Central and Eastern Europe,Region_Eastern Asia,Region_Latin America and Caribbean,Region_Middle East and Northern Africa,Region_North America,Region_Southeastern Asia,Region_Southern Asia,Region_Sub-Saharan Africa,Region_Western Europe,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019
Australia,10,7.28399991989136,1.4844149351120002,1.5100419521331798,0.84388679265976,0.601607382297516,0.301183730363846,0.477699249982834,2.065165877342224,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Panama,30,6.4520001411438,1.23374843597412,1.3731925487518302,0.706156134605408,0.550026834011078,0.070983923971653,0.21055693924427,2.3073353245854404,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Portugal,88,5.102,1.15991,1.13935,0.8751899999999999,0.51469,0.01078,0.13719,1.2648900000000003,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Costa Rica,13,7.072,1.01,1.459,0.8170000000000001,0.632,0.101,0.14300000000000002,2.9099999999999997,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Niger,135,4.02799987792969,0.16192533075809498,0.993025004863739,0.26850500702858,0.36365869641304,0.13857294619083402,0.228673845529556,1.8736390471458464,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Libya,63,5.754,1.13145,1.1186200000000002,0.7038,0.41668,0.11023,0.18295,2.0902699999999994,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Malawi,136,3.97000002861023,0.233442038297653,0.5125688314437871,0.315089583396912,0.466914653778076,0.0727116540074348,0.28717046976089505,2.0821027979254723,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Canada,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.451820000000001,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Mauritania,126,4.356,0.557,1.245,0.292,0.129,0.093,0.134,1.906,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Slovakia,45,5.995,1.16891,1.26999,0.7890199999999999,0.31751,0.03431,0.16893,2.24633,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Lebanon,93,5.129,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693000000000006,2.07295,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Benin,136,4.141,0.378,0.3720000000000001,0.24,0.44,0.067,0.163,2.481,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Portugal,89,5.19500017166138,1.3151752948761002,1.36704301834106,0.795843541622162,0.498465299606323,0.0158694516867399,0.0951027125120163,1.107500853016978,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Congo (Brazzaville),103,4.812,0.6729999999999999,0.799,0.508,0.3720000000000001,0.093,0.105,2.2620000000000005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Spain,34,6.40299987792969,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.0709140971302986,0.190133571624756,1.9277216121554368,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Philippines,72,5.42999982833862,0.85769921541214,1.25391757488251,0.468009054660797,0.585214674472809,0.0993318930268288,0.193513423204422,1.9723139926791136,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Burkina Faso,152,3.587,0.25812,0.85188,0.27125,0.39493,0.12832000000000002,0.21747,1.4650299999999998,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
South Africa,105,4.724,0.94,1.41,0.33,0.516,0.056,0.103,1.3690000000000002,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Australia,10,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.35637,0.43562,2.2664,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bahrain,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.7383000000000006,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Gabon,134,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.4528500000000002,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Canada,7,7.3279999999999985,1.33,1.5319999999999998,0.8959999999999999,0.653,0.29100000000000004,0.321,2.305,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
North Macedonia,84,5.274,0.983,1.294,0.838,0.345,0.034,0.185,1.5950000000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Senegal,109,4.631,0.429,1.117,0.433,0.406,0.08199999999999999,0.138,2.026,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Syria,152,3.46199989318848,0.777153134346008,0.396102607250214,0.5005333423614501,0.0815394446253777,0.15134713053703305,0.493663728237152,1.0616605058312452,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Burundi,156,2.905,0.091,0.627,0.145,0.065,0.076,0.149,1.7519999999999998,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Paraguay,70,5.5379999999999985,0.8937299999999999,1.11111,0.58295,0.46235,0.07396,0.25296,2.16094,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Montenegro,81,5.347,1.017,1.279,0.7290000000000001,0.259,0.081,0.111,1.871,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Botswana,146,3.59,1.017,1.1740000000000002,0.417,0.557,0.092,0.042,0.2909999999999995,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
